bank_id,bank,scope,period,status,source_state,report_url,availability_pct,aisp_availability_pct,pisp_availability_pct,aisp_response_ms,pisp_response_ms,aisp_error_pct,pisp_error_pct,metric_method,source_url
jt,J&T Banka,main,2024-Q4,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/d178be61-bcf8-4ad0-ac2c-c487f1a80ba0/Q4-2024_psd2_unavailability.pdf,99.137,,,349.6214,1627.3142,0.0078,0.0078,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2024-Q4,ok,ok,https://www.kb.cz/getmedia/465ab7eb-62b6-49f7-9009-54978e40ffe7/kb-psd2-2024-q4-cz.pdf,99.4195,,,591.5694,496.7717,0.4832,0.2976,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2024-Q4,partial,ok,https://www.ppfbanka.cz/cs/document/download/7995,,,,222.0,737.3333,1.0989,1.0989,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
csob,ČSOB,main,2024-Q4,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q4-2024.xlsx,,,,556.3546,690.9292,0.0451,0.474,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2025-Q1,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-1q-2025,99.2207,,,70.4444,75.6556,0.0014,0.0138,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2025-Q1,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2025.pdf,100.0,,,6809.6667,703.6667,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2025-Q1,ok,ok,https://developers.fio.cz/stats/PSD2_2025Q1.pdf,99.9074,,,12.2556,66.6,0.0124,0.0078,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2025-Q1,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/4ba78ea4-28e7-4397-aa4b-d60a304bca46/Q1-2025_psd2_unavailability.pdf,99.7403,,,247.7389,761.2384,0.0015,0.0015,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2025-Q1,ok,ok,https://www.kb.cz/getmedia/534311f3-7d66-4bcd-abd6-0f04b41e008f/kb-psd2-2025-q1-cz.pdf,98.206,,,424.1111,377.3556,0.3257,0.5378,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2025-Q1,partial,ok,https://www.ppfbanka.cz/cs/document/download/8081,,,,,,0.0,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
csob,ČSOB,main,2025-Q1,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q1-2025.xlsx,,,,556.6469,716.8298,0.0529,0.1387,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2025-Q2,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2025,98.4196,,,68.4396,77.2967,0.0031,0.447,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2025-Q2,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2025.pdf,100.0,,,12818.8571,749.5714,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2025-Q2,ok,ok,https://developers.fio.cz/stats/PSD2_2025Q2.pdf,99.9939,,,16.3846,28.9451,0.0038,0.0014,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2025-Q2,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/2477ae19-ff5d-4c6e-bfb4-40c6e8b37ebb/Q2-2025_psd2_unavailability.pdf,99.5907,,,323.674,1126.0038,0.0034,0.0034,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2025-Q2,ok,ok,https://www.kb.cz/getmedia/b4eb0997-283f-4ccc-a822-ffc11d2e64dd/kb-psd2-2025-q2-cz.pdf,97.1764,,,378.033,409.7582,0.1527,0.2333,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2025-Q2,partial,ok,https://www.ppfbanka.cz/cs/document/download/8195,,,,,,0.0,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
csob,ČSOB,main,2025-Q2,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q2-2025.xlsx,,,,538.3573,645.0475,0.0504,0.0627,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2025-Q3,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-3q-2025,99.1538,,,74.587,91.2391,0.0001,0.005,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2025-Q3,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2025.pdf,100.0,,,3065.3333,1095.0833,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2025-Q3,ok,ok,https://developers.fio.cz/stats/PSD2_2025Q3.pdf,99.9864,,,31.0,19.7826,0.0,0.032,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2025-Q3,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/4d6eab7e-7571-4256-895b-157c45599a47/Q3-2025_psd2_unavailability.pdf,99.2386,,,467.118,1867.3218,0.0091,0.0091,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2025-Q3,ok,ok,https://www.kb.cz/getmedia/5e46e9ce-f49c-42c2-9e8d-956d1dd5923f/kb-psd2-2025-q3-cz.pdf,97.7189,,,375.913,483.5,0.1051,0.1385,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2025-Q3,partial,ok,https://www.ppfbanka.cz/cs/document/download/8267,,,,,,0.0,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
csob,ČSOB,main,2025-Q3,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q3-2025.xlsx,,,,570.8325,602.2763,0.0401,0.0103,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2025-Q4,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-4q-2025,98.9651,,,64.4565,74.087,0.0012,0.0105,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2025-Q4,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2025.pdf,100.0,,,4330.6667,700.3333,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2025-Q4,ok,ok,https://developers.fio.cz/stats/PSD2_2025Q4.pdf,99.9268,,,34.0326,23.0652,0.0528,0.0324,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2025-Q4,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/ff63715c-e048-4b3b-b137-bf57f723b101/q4-2025_psd2_unavailability.pdf,99.5698,,,326.79,1211.06,0.0038,0.0038,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2025-Q4,ok,ok,https://www.kb.cz/getmedia/0d831705-999e-43de-9ec9-f5980ae1f75e/kb-psd2-2025-q4-cz.pdf,98.8625,,,287.2258,392.0326,0.0445,0.0726,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2025-Q4,partial,ok,https://www.ppfbanka.cz/cs/document/download/8363,,,,,,0.0,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
trinity,Trinity Bank,main,2025-Q4,ok,ok,https://www.trinitybank.cz/download/2863,99.7473,,,,,,,aritmeticky prumer dennich uptime hodnot vsech PSD2 sluzeb,https://www.trinitybank.cz/otevrene-bankovnictvi/
csob,ČSOB,main,2025-Q4,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q4-2025.xlsx,,,,683.1147,612.2577,0.0425,0.0155,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2026-Q1,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-1q-2026,99.3789,,,70.7889,71.7889,0.0,0.0039,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2026-Q1,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2026.pdf,99.8333,,,470.2889,784.8,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2026-Q1,ok,ok,https://developers.fio.cz/stats/PSD2_2026Q1.pdf,99.9823,,,22.2889,19.0667,0.0459,0.0072,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
kb,Komerční banka,main,2026-Q1,ok,ok,https://www.kb.cz/getmedia/dcd64cb6-1aa6-4d60-abc2-b8c9aad4ce28/kb-psd2-2026-q1-cz.pdf,97.8958,,,396.7333,504.6556,0.0709,0.1138,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2026-Q1,outdated,ok,https://www.ppfbanka.cz/cs/document/download/8437,,,,1833.6,,5.5556,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
trinity,Trinity Bank,main,2026-Q1,ok,ok,https://www.trinitybank.cz/download/3038,99.9944,,,,,,,aritmeticky prumer dennich uptime hodnot vsech PSD2 sluzeb,https://www.trinitybank.cz/otevrene-bankovnictvi/
csob,ČSOB,main,2026-Q1,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q1-2026.xlsx,,,,746.2501,638.7506,0.0493,0.0173,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2026-Q2,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2026,98.9736,,,62.8242,72.7143,0.0066,0.0075,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2026-Q2,ok,ok-direct-pdf,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,936.4353,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2026-Q2,ok,ok,https://developers.fio.cz/stats/PSD2_2026Q2.pdf,99.9809,,,22.7143,16.0,0.0199,0.0034,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2026-Q2,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/69bbf441-3b3b-4519-998b-10ec11b07591/Q2-2026_psd2_unavailability.pdf,99.7801,,,387.1698,1482.0,0.0009,0.0009,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2026-Q2,ok,ok,https://www.kb.cz/getmedia/956647de-9725-4cf0-9975-52c1e3462491/kb-psd2-2026-q2-cz.pdf,97.1856,,,378.5604,408.4945,0.0879,0.081,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
trinity,Trinity Bank,main,2026-Q2,ok,ok,https://www.trinitybank.cz/download/3036,99.9951,,,,,,,aritmeticky prumer dennich uptime hodnot vsech PSD2 sluzeb,https://www.trinitybank.cz/otevrene-bankovnictvi/
unicredit,UniCredit Bank,main,2026-Q2,ok,ok,https://developer.unicredit.eu/report?view=kpi,100.0,,,345.29,248.6567,0.1567,0.1567,prumer mesicnich hodnot CZ Dedicated Interface,https://developer.unicredit.eu/report?view=kpi
csob,ČSOB,main,2026-Q2,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q2-2026.xlsx,,,,879.2395,612.5572,0.0596,0.0132,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
csas,Česká spořitelna,main,2026-Q2,ok,ok,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter,,99.5523,99.2837,,,,,prumer dennich hodnot z verejneho JSON podle AISP/PISP,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter
