bank_id,bank,scope,period,status,source_state,report_url,availability_pct,aisp_availability_pct,pisp_availability_pct,aisp_response_ms,pisp_response_ms,aisp_error_pct,pisp_error_pct,metric_method,source_url
air,Air Bank,main,2024-Q3,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-3q-2024,98.5145,,,65.5978,60.6522,0.0015,0.0055,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2024-Q3,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2024.pdf,100.0,,,19303.3125,856.5625,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2024-Q3,ok,ok,https://developers.fio.cz/stats/PSD2_2024Q3.pdf,99.7894,,,13.3804,94.4565,0.1134,0.096,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
jt,J&T Banka,main,2024-Q3,ok,ok,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/09e76d44-266a-412f-bf3a-612acaba1e26/Q3-2024_psd2_unavailability.pdf,99.87,,,459.8279,1122.3804,0.001,0.001,aritmeticky prumer dennich uptime hodnot,https://www.jtbank.cz/informacni-povinnost
kb,Komerční banka,main,2024-Q3,ok,ok,https://www.kb.cz/getmedia/a5f6061e-0081-4018-a97f-0f90695022ac/kb-psd2-2024-q3-cz.pdf,98.8149,,,744.9891,654.7717,0.98,0.4526,soucet minut provozu API / kalendarni minuty,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
ppf,PPF banka,main,2024-Q3,partial,ok,https://www.ppfbanka.cz/cs/document/download/7993,,,,157.3333,737.3333,1.4674,1.087,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
csob,ČSOB,main,2024-Q3,partial,ok,https://www.csob.cz/documents/10710/21871290/psd2-q3-2024.xlsx,,,,491.6423,686.274,0.0657,0.011,prumer dennich XLSX hodnot odezvy a chybovosti; uptime chybi,https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
air,Air Bank,main,2024-Q4,ok,ok,https://www.airbank.cz/file-download/statistiky-dostupnosti-4q-2024,99.3493,,,78.5217,75.8804,0.0003,0.0102,soucet minut provozu API / kalendarni minuty,https://www.airbank.cz/aplikace-tretich-stran/
creditas,Banka CREDITAS,main,2024-Q4,ok,ok,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2024.pdf,100.0,,,6527.8,687.7,,,aritmeticky prumer dennich uptime hodnot,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
fio,Fio banka,main,2024-Q4,ok,ok,https://developers.fio.cz/stats/PSD2_2024Q4.pdf,99.9479,,,10.8043,55.9239,0.0076,0.0027,soucet PSD2 API provozu / (provoz + vypadek),https://developers.fio.cz/stats.html
